state,E_ex,osc,nm
1,2.3413,0.0007,529.5527826
2,2.4891,0.0054,498.1085252
3,2.5714,0.0015,482.166108
4,2.6294,0.0572,471.5303605
5,2.7075,0.0065,457.9286907
6,2.9873,0.0433,415.037636
7,3.1363,0.0014,395.3199407
8,3.2577,0.0004,380.5881235
9,3.4287,0.0014,361.6070027
10,3.434,0.0005,361.0489022
11,3.6068,0.0001,343.7512282
12,3.6681,0.0073,338.0065783
13,3.768,0.0004,329.0450982
14,3.824,0.0001,324.2264461
15,3.924,0.0088,315.9637946
16,3.9639,0.0026,312.7833523
17,4.0317,0.001,307.5233599
18,4.145,0.0001,299.1174741
19,4.2991,0,288.3956944
20,4.3853,0.0104,282.7268214
21,4.395,0.0056,282.1028282
22,4.3985,0.0024,281.8783517
23,4.4453,0.0103,278.9107439
24,4.4578,0.0012,278.1286576
25,4.4809,0.034,276.6948448
26,4.5946,0.0022,269.847632
27,4.6486,0.0007,266.7129738
28,4.6635,0.0026,265.8608191
29,4.759,0.001,260.525726
30,4.9086,0.0021,252.5856517
31,4.9274,0.0036,251.6219365
32,4.9451,0.0013,250.7213059
33,4.9571,0.0017,250.1143673
34,5.0278,0.0268,246.597305
35,5.0362,0.0133,246.1859994
36,5.0548,0.0032,245.2801159
37,5.1311,0.09,241.6327746
38,5.1455,0.002,240.9565504
39,5.1675,0.002,239.9307073
40,5.2214,0.0001,237.4539262
41,5.2266,0.0033,237.2176807
42,5.3098,0.0892,233.5006836
43,5.3234,0.0204,232.9041458
44,5.3321,0.0354,232.5241331
45,5.3644,0.2736,231.1240642
46,5.405,0.0025,229.3879611
47,5.4395,0.0006,227.9330692
48,5.4574,0.0152,227.1854601
49,5.4634,0.0093,226.9359611
50,5.5172,0.0015,224.7230352
51,5.5311,0.0211,224.1582922
52,5.5485,0.0085,223.4553357
53,5.5573,0.0001,223.1014935
54,5.6067,0.029,221.1357715
55,5.6169,0.0493,220.7342004
56,5.6208,0.0207,220.5810436
57,5.6233,0.0772,220.482978
58,5.6352,0.0247,220.0173783
59,5.6756,0.058,218.4512527
60,5.6814,0.0063,218.2282413
61,5.718,0.0003,216.8313973
62,5.7216,0.0091,216.6949682
63,5.727,0.0087,216.4906461
64,5.7514,0.0001,215.5721963
65,5.7552,0.0035,215.42986
66,5.7618,0.018,215.1830904
67,5.7759,0.0133,214.6577901
68,5.7857,0.004,214.294196
69,5.7952,0.0332,213.9429062
70,5.8066,0.0048,213.5228757
71,5.8164,0.0483,213.1631129
72,5.8226,0.002,212.9361333
73,5.8391,0.0016,212.3344231
74,5.8423,0.0164,212.2181213
75,5.8442,0.0167,212.1491273
76,5.846,0.0257,212.083806
77,5.8673,0.0061,211.3138803
78,5.8787,0.0015,210.9040995
79,5.8985,0.0149,210.1961397
80,5.9003,0.0033,210.1320153
81,5.9112,0.0111,209.7445409
82,5.9263,0.0143,209.2101193
83,5.9317,0.0005,209.0196622
84,5.9539,0.0085,208.2403013
85,5.9624,0.0033,207.9434339
86,5.9652,0.0091,207.8458275
87,6.0052,0.0024,206.4613885
88,6.0178,0.0073,206.029102
89,6.0209,0.0047,205.9230231
90,6.0345,0.0047,205.4589328
91,6.0404,0.0379,205.2582495
92,6.049,0.0062,204.9664292
93,6.0548,0.0005,204.7700882
94,6.0725,0.0355,204.1732285
95,6.0908,0.0007,203.5597836
96,6.0911,0.0034,203.5497578
97,6.1014,0.1271,203.2061379
98,6.1089,0.0219,202.9566583
99,6.1287,0.0083,202.3009659
100,6.1392,0.0434,201.9549664
